flow_id,src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,byte_count,packet_rate,byte_rate,avg_packet_size,std_packet_size,inter_arrival_time,iat_std,entropy,syn_count,ack_count,fin_count,rst_count,syn_ratio,ack_ratio,fin_ratio,rst_ratio,burst_count,unique_src_ports,unique_dst_ports,tcp_ratio,udp_ratio,icmp_ratio,label
172.19.42.208:9945-178.219.170.7:443/TCP,172.19.42.208,178.219.170.7,9945,443,TCP,12.247,30,41161,2.4496,3360.95,1372.05,84.42,0.422309,0.131006,0.1538,0,18,0,0,0.01,0.6,0.01,0.0,0,1,1,1.0,0.0,0.0,BENIGN
192.168.9.236:13739-56.41.204.237:8554/TCP,192.168.9.236,56.41.204.237,13739,8554,TCP,47.8359,456,684000,9.5326,14298.89,1500.0,158.37,0.105134,0.036449,0.264,2,250,2,0,0.005,0.55,0.005,0.0,0,1,1,1.0,0.0,0.0,BENIGN
12.148.131.141:33751-10.8.214.165:3389/TCP,12.148.131.141,10.8.214.165,33751,3389,TCP,13.1683,515,205525,39.1092,15607.65,399.08,313.97,0.025619,0.017332,1.0,311,94,15,15,0.6041,0.1827,0.0295,0.0304,4,8,1,1.0,0.0,0.0,HYBRID_ATTACK
173.80.110.158:12850-192.168.250.72:443/TCP,173.80.110.158,192.168.250.72,12850,443,TCP,14.2706,67,23745,4.695,1663.92,354.4,115.69,0.216221,0.430201,0.8161,14,20,1,0,0.2213,0.3,0.02,0.01,5,1,1,1.0,0.0,0.0,STEALTH_ATTACK
160.201.17.64:24730-10.232.212.214:0/ARP,160.201.17.64,10.232.212.214,24730,0,ARP,9.465,20,868,2.113,91.78,43.43,1.04,0.498158,0.524507,0.0599,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,MITM
172.22.148.17:19433-12.112.134.21:53/UDP,172.22.148.17,12.112.134.21,19433,53,UDP,0.0804,2,199,24.8751,2486.89,99.98,7.23,0.080402,0.025013,0.1808,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,1.0,0.0,BENIGN
219.208.21.233:36908-192.168.19.35:0/ICMP,219.208.21.233,192.168.19.35,36908,0,ICMP,4.5169,225,13991,49.813,3097.59,62.18,8.37,0.020165,0.006953,0.3364,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,1.0,UNKNOWN_ATTACK
28.24.26.96:2389-192.168.151.250:53/UDP,28.24.26.96,192.168.151.250,2389,53,UDP,6.2632,1036,1456365,165.4112,232528.19,1405.76,45.98,0.006051,0.000608,0.0818,0,0,0,0,0.0,0.0,0.0,0.0,6,1,1,0.0,1.0,0.0,DDoS
172.23.223.215:38495-1.34.142.217:53/UDP,172.23.223.215,1.34.142.217,38495,53,UDP,0.04,1,103,24.9796,2579.8,103.28,24.96,0.040033,0.01226,0.6042,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,1.0,0.0,BENIGN
172.20.222.127:63649-180.91.37.248:443/TCP,172.20.222.127,180.91.37.248,63649,443,TCP,1.6581,33,9703,20.896890000000003,5852.22,294.05,153.52,0.051817,0.015663,1.0,1,14,0,0,0.05035340758797029,0.45,0.02,0.0,0,1,1,1.0,0.0,0.0,STEALTH_ATTACK
