Timestamp,Src_IP,Dst_IP,Protocol,Dst_Port,Flags,Length,Payload_Snippet
1774602360.3084989,192.168.1.164,10.69.131.192,TCP,443,S,40,
1774602360.3209722,192.168.1.164,10.69.131.192,TCP,443,A,40,
1774602360.3329406,192.168.1.164,10.69.131.192,TCP,443,PA,72,"GET / HTTP/1.1 Host: server "
1774602360.3469312,192.168.1.164,10.69.131.192,TCP,443,FA,40,
1774602360.3645518,192.168.1.194,10.69.131.192,TCP,80,S,40,
1774602360.377767,192.168.1.194,10.69.131.192,TCP,80,A,40,
1774602360.3859112,192.168.1.194,10.69.131.192,TCP,80,PA,72,"GET / HTTP/1.1 Host: server "
1774602360.393704,192.168.1.194,10.69.131.192,TCP,80,FA,40,
1774602360.3996558,192.168.1.170,10.69.131.192,TCP,80,S,40,
1774602360.4086764,192.168.1.170,10.69.131.192,TCP,80,A,40,
1774602360.4235306,192.168.1.170,10.69.131.192,TCP,80,PA,72,"GET / HTTP/1.1 Host: server "
1774602360.4491112,192.168.1.170,10.69.131.192,TCP,80,FA,40,
1774602360.4717488,192.168.1.155,10.69.131.192,TCP,443,S,40,
1774602360.5027952,192.168.1.155,10.69.131.192,TCP,443,A,40,
1774602360.5279644,192.168.1.155,10.69.131.192,TCP,443,PA,72,"GET / HTTP/1.1 Host: server "
1774602360.5545862,192.168.1.155,10.69.131.192,TCP,443,FA,40,
1774602360.578418,192.168.1.184,10.69.131.192,TCP,443,S,40,
1774602360.591762,192.168.1.184,10.69.131.192,TCP,443,A,40,
1774602360.5963225,192.168.1.184,10.69.131.192,TCP,443,PA,72,"GET / HTTP/1.1 Host: server "
1774602360.602612,192.168.1.184,10.69.131.192,TCP,443,FA,40,
1774602361.6390674,192.168.1.125,10.69.131.192,TCP,443,S,40,
1774602361.676518,192.168.1.125,10.69.131.192,TCP,443,A,40,
1774602361.7083316,192.168.1.125,10.69.131.192,TCP,443,PA,72,"GET / HTTP/1.1 Host: server "
1774602361.738674,192.168.1.125,10.69.131.192,TCP,443,FA,40,
1774602361.76871,192.168.1.161,10.69.131.192,TCP,80,S,40,
1774602361.7979786,192.168.1.161,10.69.131.192,TCP,80,A,40,
1774602361.8425267,192.168.1.161,10.69.131.192,TCP,80,PA,72,"GET / HTTP/1.1 Host: server "
1774602361.877322,192.168.1.161,10.69.131.192,TCP,80,FA,40,
1774602361.9102242,192.168.1.140,10.69.131.192,TCP,443,S,40,
1774602361.9359336,192.168.1.140,10.69.131.192,TCP,443,A,40,
1774602361.9657378,192.168.1.140,10.69.131.192,TCP,443,PA,72,"GET / HTTP/1.1 Host: server "
1774602361.9816017,192.168.1.140,10.69.131.192,TCP,443,FA,40,
1774602361.9951997,192.168.1.127,10.69.131.192,TCP,443,S,40,
1774602362.0076451,192.168.1.127,10.69.131.192,TCP,443,A,40,
1774602362.0219164,192.168.1.127,10.69.131.192,TCP,443,PA,72,"GET / HTTP/1.1 Host: server "
1774602362.038277,192.168.1.127,10.69.131.192,TCP,443,FA,40,
1774602362.051537,192.168.1.158,10.69.131.192,TCP,443,S,40,
1774602362.0620027,192.168.1.158,10.69.131.192,TCP,443,A,40,
1774602362.0690181,192.168.1.158,10.69.131.192,TCP,443,PA,72,"GET / HTTP/1.1 Host: server "
1774602362.0806577,192.168.1.158,10.69.131.192,TCP,443,FA,40,
1774602363.0919385,192.168.1.170,10.69.131.192,TCP,443,S,40,
1774602363.0985181,192.168.1.170,10.69.131.192,TCP,443,A,40,
1774602363.1053534,192.168.1.170,10.69.131.192,TCP,443,PA,72,"GET / HTTP/1.1 Host: server "
1774602363.1100311,192.168.1.170,10.69.131.192,TCP,443,FA,40,
1774602363.1145973,192.168.1.119,10.69.131.192,TCP,443,S,40,
