Timestamp,Src_IP,Dst_IP,Protocol,Dst_Port,Flags,Length,Payload_Snippet
1774602364.211761,45.33.22.11,10.69.131.192,TCP,21,S,40,
1774602364.2427225,45.33.22.11,10.69.131.192,TCP,22,S,40,
1774602364.2715058,45.33.22.11,10.69.131.192,TCP,23,S,40,
1774602364.2903872,45.33.22.11,10.69.131.192,TCP,25,S,40,
1774602364.3018157,45.33.22.11,10.69.131.192,TCP,53,S,40,
1774602364.3173375,45.33.22.11,10.69.131.192,TCP,80,S,40,
1774602364.3339584,45.33.22.11,10.69.131.192,TCP,110,S,40,
1774602364.3445513,45.33.22.11,10.69.131.192,TCP,135,S,40,
1774602364.3601813,45.33.22.11,10.69.131.192,TCP,139,S,40,
1774602364.3763924,45.33.22.11,10.69.131.192,TCP,143,S,40,
1774602364.3916252,45.33.22.11,10.69.131.192,TCP,443,S,40,
1774602364.4120712,45.33.22.11,10.69.131.192,TCP,445,S,40,
1774602364.451141,45.33.22.11,10.69.131.192,TCP,3306,S,40,
1774602364.4839177,45.33.22.11,10.69.131.192,TCP,3389,S,40,
1774602387.76148,45.33.22.11,10.69.131.192,TCP,21,S,40,
1774602387.798959,45.33.22.11,10.69.131.192,TCP,22,S,40,
1774602387.8309226,45.33.22.11,10.69.131.192,TCP,23,S,40,
1774602387.8576374,45.33.22.11,10.69.131.192,TCP,25,S,40,
1774602387.8937259,45.33.22.11,10.69.131.192,TCP,53,S,40,
1774602387.9291635,45.33.22.11,10.69.131.192,TCP,80,S,40,
1774602387.9467607,45.33.22.11,10.69.131.192,TCP,110,S,40,
1774602387.9523382,45.33.22.11,10.69.131.192,TCP,135,S,40,
1774602387.9571385,45.33.22.11,10.69.131.192,TCP,139,S,40,
1774602387.9615808,45.33.22.11,10.69.131.192,TCP,143,S,40,
1774602387.9655876,45.33.22.11,10.69.131.192,TCP,443,S,40,
1774602387.9695866,45.33.22.11,10.69.131.192,TCP,445,S,40,
1774602387.9736714,45.33.22.11,10.69.131.192,TCP,3306,S,40,
1774602387.9776883,45.33.22.11,10.69.131.192,TCP,3389,S,40,
1774602392.483503,45.33.22.11,10.69.131.192,TCP,21,S,40,
1774602392.5092032,45.33.22.11,10.69.131.192,TCP,22,S,40,
1774602392.5213544,45.33.22.11,10.69.131.192,TCP,23,S,40,
1774602392.5463674,45.33.22.11,10.69.131.192,TCP,25,S,40,
1774602392.5922964,45.33.22.11,10.69.131.192,TCP,53,S,40,
1774602392.6093912,45.33.22.11,10.69.131.192,TCP,80,S,40,
1774602392.6192772,45.33.22.11,10.69.131.192,TCP,110,S,40,
1774602392.6264937,45.33.22.11,10.69.131.192,TCP,135,S,40,
1774602392.63321,45.33.22.11,10.69.131.192,TCP,139,S,40,
1774602392.6382513,45.33.22.11,10.69.131.192,TCP,143,S,40,
1774602392.6444416,45.33.22.11,10.69.131.192,TCP,443,S,40,
1774602392.6506305,45.33.22.11,10.69.131.192,TCP,445,S,40,
1774602392.656714,45.33.22.11,10.69.131.192,TCP,3306,S,40,
1774602392.6627927,45.33.22.11,10.69.131.192,TCP,3389,S,40,
1774602396.7229908,45.33.22.11,10.69.131.192,TCP,21,S,40,
1774602396.7408173,45.33.22.11,10.69.131.192,TCP,22,S,40,
1774602396.754972,45.33.22.11,10.69.131.192,TCP,23,S,40,
1774602396.76114,45.33.22.11,10.69.131.192,TCP,25,S,40,
1774602396.767267,45.33.22.11,10.69.131.192,TCP,53,S,40,
1774602396.7736185,45.33.22.11,10.69.131.192,TCP,80,S,40,
1774602396.776751,45.33.22.11,10.69.131.192,TCP,110,S,40,
1774602396.7823493,45.33.22.11,10.69.131.192,TCP,135,S,40,
1774602396.7868168,45.33.22.11,10.69.131.192,TCP,139,S,40,
1774602396.7928674,45.33.22.11,10.69.131.192,TCP,143,S,40,
