Timestamp,Src_IP,Dst_IP,Protocol,Dst_Port,Flags,Length,Payload_Snippet
1774604927.0711756,5.181.246.140,10.69.131.192,TCP,80,A,40,
1774604927.0818825,51.234.142.183,10.69.131.192,TCP,80,A,40,
1774604927.0902023,45.44.250.132,10.69.131.192,TCP,80,A,40,
1774604927.101504,128.76.162.108,10.69.131.192,TCP,80,A,40,
1774604927.1163425,101.46.197.194,10.69.131.192,TCP,80,A,40,
1774604927.145393,170.44.167.27,10.69.131.192,TCP,80,A,40,
1774604927.1601808,148.224.204.24,10.69.131.192,TCP,80,A,40,
1774604927.1687827,93.105.91.58,10.69.131.192,TCP,80,A,40,
1774604927.1756792,110.235.30.54,10.69.131.192,TCP,80,A,40,
1774604927.1849751,81.152.68.254,10.69.131.192,TCP,80,A,40,
1774604927.2090075,15.235.192.201,10.69.131.192,TCP,80,A,40,
1774604927.2252157,156.250.234.60,10.69.131.192,TCP,80,A,40,
1774604927.2494469,101.127.174.212,10.69.131.192,TCP,80,A,40,
1774604927.2654135,129.11.225.120,10.69.131.192,TCP,80,A,40,
1774604927.288393,1.201.97.222,10.69.131.192,TCP,80,A,40,
1774604927.3149152,148.165.197.17,10.69.131.192,TCP,80,A,40,
1774604927.3950756,73.225.144.131,10.69.131.192,TCP,80,A,40,
1774604927.4188764,74.86.90.150,10.69.131.192,TCP,80,A,40,
1774604927.4384968,71.201.93.86,10.69.131.192,TCP,80,A,40,
1774604927.4634674,56.105.39.181,10.69.131.192,TCP,80,A,40,
1774604927.492925,123.189.215.243,10.69.131.192,TCP,80,A,40,
1774604927.5123403,140.71.67.209,10.69.131.192,TCP,80,A,40,
1774604927.5235727,90.7.203.220,10.69.131.192,TCP,80,A,40,
1774604927.5352433,11.59.2.17,10.69.131.192,TCP,80,A,40,
1774604927.5466647,172.227.216.16,10.69.131.192,TCP,80,A,40,
1774604927.551059,172.214.162.115,10.69.131.192,TCP,80,A,40,
1774604927.5543246,51.19.107.34,10.69.131.192,TCP,80,A,40,
1774604927.5654347,88.253.218.243,10.69.131.192,TCP,80,A,40,
1774604927.5777535,12.65.184.125,10.69.131.192,TCP,80,A,40,
1774604927.5838366,157.156.78.85,10.69.131.192,TCP,80,A,40,
1774604927.5883725,157.168.232.200,10.69.131.192,TCP,80,A,40,
1774604927.592372,92.29.192.97,10.69.131.192,TCP,80,A,40,
1774604927.5958703,34.99.165.138,10.69.131.192,TCP,80,A,40,
1774604927.599486,9.5.29.27,10.69.131.192,TCP,80,A,40,
1774604927.6041307,124.214.13.44,10.69.131.192,TCP,80,A,40,
1774604927.608758,49.3.163.199,10.69.131.192,TCP,80,A,40,
1774604927.612167,24.248.23.56,10.69.131.192,TCP,80,A,40,
1774604927.616232,137.246.52.94,10.69.131.192,TCP,80,A,40,
1774604927.6222243,34.7.38.92,10.69.131.192,TCP,80,A,40,
1774604927.630339,86.90.216.25,10.69.131.192,TCP,80,A,40,
1774604927.6400337,35.82.178.96,10.69.131.192,TCP,80,A,40,
1774604927.6515129,108.20.253.183,10.69.131.192,TCP,80,A,40,
1774604927.6620874,30.132.131.74,10.69.131.192,TCP,80,A,40,
1774604927.673207,37.21.108.162,10.69.131.192,TCP,80,A,40,
1774604927.6876607,37.241.227.134,10.69.131.192,TCP,80,A,40,
1774604927.703964,57.184.47.58,10.69.131.192,TCP,80,A,40,
1774604927.7233267,155.153.106.10,10.69.131.192,TCP,80,A,40,
1774604927.7450886,12.183.194.102,10.69.131.192,TCP,80,A,40,
1774604927.763052,15.125.75.151,10.69.131.192,TCP,80,A,40,
1774604927.7771516,158.62.66.180,10.69.131.192,TCP,80,A,40,
1774604927.7874243,60.69.39.197,10.69.131.192,TCP,80,A,40,
1774604927.7954469,112.233.140.74,10.69.131.192,TCP,80,A,40,
1774604927.7999604,32.208.174.101,10.69.131.192,TCP,80,A,40,
1774604927.8064458,127.37.181.24,10.69.131.192,TCP,80,A,40,
1774604927.8133872,1.155.204.222,10.69.131.192,TCP,80,A,40,
1774604927.8200376,158.106.43.10,10.69.131.192,TCP,80,A,40,
1774604927.8260427,5.190.242.90,10.69.131.192,TCP,80,A,40,
1774604927.833477,137.80.105.50,10.69.131.192,TCP,80,A,40,
1774604927.8445048,17.48.193.182,10.69.131.192,TCP,80,A,40,
1774604927.8521464,114.174.14.9,10.69.131.192,TCP,80,A,40,
1774604927.8596313,76.160.82.89,10.69.131.192,TCP,80,A,40,
1774604927.867414,188.25.30.52,10.69.131.192,TCP,80,A,40,
1774604927.8758743,72.71.141.109,10.69.131.192,TCP,80,A,40,
1774604927.8857543,106.149.8.151,10.69.131.192,TCP,80,A,40,
1774604927.8984668,177.225.137.60,10.69.131.192,TCP,80,A,40,
1774604927.9153147,4.109.128.94,10.69.131.192,TCP,80,A,40,
1774604927.9274707,151.148.73.29,10.69.131.192,TCP,80,A,40,
1774604927.9429617,129.184.54.6,10.69.131.192,TCP,80,A,40,
1774604927.9515932,190.227.128.181,10.69.131.192,TCP,80,A,40,
1774604927.9568527,140.38.166.235,10.69.131.192,TCP,80,A,40,
1774604927.9674861,141.15.111.133,10.69.131.192,TCP,80,A,40,
1774604927.978855,63.113.237.120,10.69.131.192,TCP,80,A,40,
1774604928.001795,189.181.23.82,10.69.131.192,TCP,80,A,40,
1774604928.0264049,197.58.107.141,10.69.131.192,TCP,80,A,40,
1774604928.0454414,6.13.161.114,10.69.131.192,TCP,80,A,40,
1774604928.0582855,93.14.67.162,10.69.131.192,TCP,80,A,40,
1774604928.0700061,15.224.190.241,10.69.131.192,TCP,80,A,40,
1774604928.0827034,109.100.143.182,10.69.131.192,TCP,80,A,40,
1774604928.0918849,120.168.166.70,10.69.131.192,TCP,80,A,40,
1774604928.0980532,166.121.131.122,10.69.131.192,TCP,80,A,40,
1774604928.102367,57.95.228.40,10.69.131.192,TCP,80,A,40,
1774604928.105948,22.96.101.192,10.69.131.192,TCP,80,A,40,
1774604928.1095517,38.133.253.235,10.69.131.192,TCP,80,A,40,
1774604928.11353,114.131.28.62,10.69.131.192,TCP,80,A,40,
1774604928.118208,105.117.215.128,10.69.131.192,TCP,80,A,40,
1774604928.1213098,186.219.159.200,10.69.131.192,TCP,80,A,40,
1774604928.1253192,143.181.60.50,10.69.131.192,TCP,80,A,40,
1774604928.128321,36.142.178.206,10.69.131.192,TCP,80,A,40,
1774604928.132658,130.147.220.44,10.69.131.192,TCP,80,A,40,
1774604928.1362028,35.232.37.116,10.69.131.192,TCP,80,A,40,
1774604928.1399643,46.75.42.179,10.69.131.192,TCP,80,A,40,
1774604928.1434305,53.195.29.63,10.69.131.192,TCP,80,A,40,
1774604928.147428,45.88.225.132,10.69.131.192,TCP,80,A,40,
1774604928.1515021,168.121.73.37,10.69.131.192,TCP,80,A,40,
1774604928.155825,45.51.230.159,10.69.131.192,TCP,80,A,40,
1774604928.1602116,193.20.254.163,10.69.131.192,TCP,80,A,40,
1774604928.1649826,174.176.202.109,10.69.131.192,TCP,80,A,40,
1774604928.1706285,7.7.169.153,10.69.131.192,TCP,80,A,40,
1774604928.1786263,193.154.73.15,10.69.131.192,TCP,80,A,40,
1774604928.185083,192.29.94.36,10.69.131.192,TCP,80,A,40,
1774604929.2486107,156.217.62.45,10.69.131.192,TCP,80,A,40,
1774604929.2729635,156.125.166.134,10.69.131.192,TCP,80,A,40,
1774604929.2895205,44.124.91.55,10.69.131.192,TCP,80,A,40,
1774604929.3043025,52.162.29.103,10.69.131.192,TCP,80,A,40,
1774604929.3187928,24.114.42.153,10.69.131.192,TCP,80,A,40,
1774604929.3394165,65.157.89.40,10.69.131.192,TCP,80,A,40,
1774604929.3698013,17.69.148.130,10.69.131.192,TCP,80,A,40,
1774604929.39982,65.194.21.193,10.69.131.192,TCP,80,A,40,
1774604929.425733,53.251.128.179,10.69.131.192,TCP,80,A,40,
1774604929.4499059,105.80.82.63,10.69.131.192,TCP,80,A,40,
1774604929.4738579,7.82.131.205,10.69.131.192,TCP,80,A,40,
1774604929.5083945,41.178.213.254,10.69.131.192,TCP,80,A,40,
1774604929.5374153,174.238.185.73,10.69.131.192,TCP,80,A,40,
1774604929.55366,104.67.149.180,10.69.131.192,TCP,80,A,40,
1774604929.560204,24.244.103.212,10.69.131.192,TCP,80,A,40,
1774604929.5715086,121.13.95.227,10.69.131.192,TCP,80,A,40,
1774604929.5888438,26.119.140.82,10.69.131.192,TCP,80,A,40,
1774604929.5994072,65.57.208.180,10.69.131.192,TCP,80,A,40,
1774604929.606949,195.142.39.69,10.69.131.192,TCP,80,A,40,
1774604929.6297734,105.19.208.197,10.69.131.192,TCP,80,A,40,
1774604929.6410227,33.242.242.23,10.69.131.192,TCP,80,A,40,
1774604929.6530871,37.35.93.56,10.69.131.192,TCP,80,A,40,
1774604929.658094,125.88.66.237,10.69.131.192,TCP,80,A,40,
1774604929.6665595,33.175.10.8,10.69.131.192,TCP,80,A,40,
1774604929.674116,114.173.233.81,10.69.131.192,TCP,80,A,40,
